,synonyms,analysis
273,Синонимы:специфические иммуноглобулины класса Е к аллергокомпоненту пыльцы березы; IgE антитела к мажорному аллергокомпоненту rBet v1 пыльцы березы; specific immunoglobulins of class E to the allergenic component of birch pollen; IgE antibodies to the major allergenic component rBet v1 of birch pollen.,"Береза бородавчатая, rBet v1 (t215), IgE (Birch, Betula verrucosa, rBet v1 (t215), IgE)"
274,Синонимы:Специфические иммуноглобулины класса Е к аллергенам ольхи серой;Анализ крови на аллергию на ольху серую.,"Ольха серая (t2), IgE (Alnus incana (t2), IgE)"
275,Синонимы:Специфические иммуноглобулины класса Е к аллергенам лещины обыкновенной;Анализ крови на аллергию на лещину обыкновенную.,"Лещина обыкновенная (t4), IgE (Corylus avellana (t4), IgE)"
276,Синонимы:Специфические иммуноглобулины класса Е к аллергенам подорожника ланцетовидного;Анализ крови на аллергию на подорожник ланцетовидный.,"Подорожник (w9), IgE (Plantago lanceolata (w9), IgE)"
277,Синонимы:Специфические иммуноглобулины класса Е к аллергенам дуба черешчатого;Анализ крови на аллергию на дуб черешчатый.,"Дуб черешчатый (t218), IgE (Quercus robur (t218), IgE)"
278,Синонимы:Специфические иммуноглобулины класса Е к аллергенам лебеды;Анализ крови на аллергию на лебеду.,"Лебеда (w15), IgE (Scale /Atriplex lentiformis (w15), IgE)"
279,Синонимы:Специфические иммуноглобулины класса Е к аллергенам липы;Анализ крови на аллергию на липу.,"Липа (t208), IgE (Tilia cordata (t208), IgE)"
280,Синонимы:Специфические иммуноглобулины класса Е к аллергенам дуба белого;Анализ крови на аллергию на дуб белый.,"Дуб (t7), IgE (Oak /Quercus alba (t7), IgE)"
281,Синонимы:Специфические иммуноглобулины класса Е к аллергенам тополя трехгранного;Анализ крови на аллергию на тополь трехгранный.,"Тополь трехгранный ( Cottonwood/ Populus deltoides) (t14), IgE (Cottonwood/ Populus deltoides, t14, IgE)"
282,Синонимы:Специфические иммуноглобулины класса Е к аллергенам одуванчика;Анализ крови на аллергию на одуванчик.,"Одуванчик (w8), IgE (Dandelion/ Taraxacum vulgare, w8, IgE)"
283,Синонимы:Специфические иммуноглобулины класса Е к аллергенам полыни горькой;Анализ крови на аллергию на полынь горькую.,"Полынь горькая (w5), IgE (Artemisia absinthium, w5, IgE)"
